Label, Filename, Source Document, Alt Text
PREAMP_ORIG_1,PREAMP_ORIG_1.png,1. PreAmp,This shows the preamp used by MechPanda
PREAMP_ORIG_2,PREAMP_ORIG_2.png,1. PreAmp,This shows the preamp used by Dan
PREAMP_ORIG_3,PREAMP_ORIG_3.png,1. PreAmp,SMA connector to surface mount pin connector antenna example
PREAMP_ORIG_4,PREAMP_ORIG_4.png,1. PreAmp,"Close up zoom in on the probe tip wire mounted in the pin socket, taken from the mech panda version of the piezo assembly"
PREAMP_ORIG_5,PREAMP_ORIG_5.jpg,1. PreAmp,"The bottom of the piezo, demonstrating a mounted pin holder, and the connected sense wire leaving from the top, and where the probe wire is inserted in the pin holder"
PREAMP_ORIG_6,PREAMP_ORIG_6.jpg,1. PreAmp,Demonstration of Dan's placement of the preamp board physically mounted to his metal scanning assembly. Shown alos is the wiring coming from the peizo and the preamp. Three configuration screws are shown for the course manual approach done by hand.
PREAMP_2A_1,PREAMP_2A_1.png,2.A. Preamp,"Box diagram of the full pre-amplifier, control board, microcontroller, pc circuit"
PREAMP_2A_2,PREAMP_2A_2.jpg,2.A. Preamp,"Bare preampliefier, early prototype that still used an SMA connector. The SMA here was later determined to have too much electrical pickup and was revised"
PREAMP_2A_3,PREAMP_2A_3.jpg,2.A. Preamp,This figure shows the OpAmp (shown in red as a thumbnail sized circuit board) - being connected to a battery power source. An oscilloscope was connected to the output from the preamp board and the PC behind it. The picturers that follow are based on that assembly
PREAMP_2A_4,PREAMP_2A_4.jpg,2.A. Preamp,Output from reading an osciliscope reading of the output of the bare preamp in air. Notice how there are baseline sources of noise. Those might include… and 60Hz room EMF from the circuitry in building.
PREAMP_2A_5,PREAMP_2A_5.jpg,2.A. Preamp,"Another view of the basline noise in an osillograph, also shown the number 0.000000016 which was likely relevant"
PREAMP_2A_6,PREAMP_2A_6.jpg,2.A. Preamp,"A zoom in on the noise signal. A high-noise system is shown here, with a 60Hz overall reading showing clear sine wave behavior"
PREAMP_2A_7,.PREAMP_2A_7.jpg,2.A. Preamp,A slightly less noisy version of the preamp - we need clarify here what we changed to reduce this noise.
PREAMP_2A_8,PREAMP_2A_8.png,2.A. Preamp,circuit diagram of the preamp opamp and STM tip from Dan's Design. Called out is his use of a 100M Ohm resistor to define the gain ratio of the signal pickup.
PREAMP_2A_9,PREAMP_2A_9.png,2.A. Preamp,Reiterated view of Dan's preamp board - a physical picture. Clearly shown in blue is the 100M resistor surface mounted across the top of the board to avoid paracitic interactions
PREAMP_2A_10,PREAMP_2A_10.png,2.A. Preamp,Reiteration of MechPanda's preamp also showing a prominent 100M resistor
PREAMP_2B_1,PREAMP_2B_1.png,2.B. - Pre-Amp - Continued,two sets of two capacitors circuit diagram. More details are needed on this one. These are the two tantulm capacitors (each set is one tantulum)
PREAMP_2B_2,PREAMP_2B_2.png,2.B. - Pre-Amp - Continued,"Zoom in on two yellow Tantalum capacitors (this is an electrolytic capacitor, but with solid electrolyte). This is MechPandas preamp (purple board) also showing 5 pin pinout closeup picture"
PREAMP_2B_3,PREAMP_2B_3.png,2.B. - Pre-Amp - Continued,"two capacitors close up from circuit diagram. 4.7uF cap is the tantalum,  the 0.1 ceramic..  These bothe are filtering frequencies, and noise spikes on the line. (The tantalum has high internal resistance, recommended to be in the output of a linear voltage regulator.  LDO recommend using tantalum over ceramic, because the regulation also needs some damper (milli-volt)"
PREAMP_2B_4,PREAMP_2B_4.png,2.B. - Pre-Amp - Continued,5 pin pinout circuit diagram from the opamp. Also shown a 220 ohm resisitor is on out output line from the OpAmp (which is configured as a transimpedance amplifier) - and acts as a safety mechanism by providing a load 
PREAMP_2B_5,PREAMP_2B_5.png,2.B. - Pre-Amp - Continued,"close up on the preamps 5 pin pinout as a circuit diagram. Shown is a -15V and +15V power line, but we made change to this reference image. Very importantly we are choosing to SWAP pin 1 and 2 - so that the SIGNAL line (pin 3) is isolated between two ground pins"
PREAMP_2B_6,PREAMP_2B_6.png,2.B. - Pre-Amp - Continued,Side by side of the physical pads of the mechpanda preamp next to it's 5 pins circuit diagram representation. Notice how on pin 3 (the opamp sense wire output analog wire) - we want this to be as short as possible.
PREAMP_2B_7,PREAMP_2B_7.png,2.B. - Pre-Amp - Continued,Coponent for the tantalum capacitor shown in the Easy EDA inteface as component CA45-B020K686T
STM_GEN_1,STM_GEN_1.png,3. STM General Notes,"Hybrid Module springed plate, showing an alternative foot for a vibration isolating platform"
STM_GEN_2,STM_GEN_2.png,3. STM General Notes,Square base plate showing these alternative vibration isolating legs. This design is so far unused by our project
CONTROL_BRD_COMPONENTS_1,CONTROL_BRD_COMPONENTS_1.png,5. Primary Board PCB Components,"Circuit diagram of the preamp part of the control board, showing a low pass filter configuration. This diagram needs to be further documented and clarified"
CONTROL_BRD_COMPONENTS_2,CONTROL_BRD_COMPONENTS_2.png,5. Primary Board PCB Components,"Circuit diagram showing Micro controllers sends in SPI data to this DAC (shown), and it outputs ZOUT"
CONTROL_BRD_COMPONENTS_3,CONTROL_BRD_COMPONENTS_3.png,5. Primary Board PCB Components,"A demonstration of the Z-X composite signal with controls the X part of the peizo bend, with it's Z component factored in. It takes in ZOUT from before, and XOUT a global setting. This is a circuit diagram of part of the control board, there is also a Z-Y analogous circuit"
CONTROL_BRD_COMPONENTS_4,CONTROL_BRD_COMPONENTS_4.png,5. Primary Board PCB Components,"R28, R29 components shown in a group in the Easy EDA interface"
BUILD_CONT_1,BUILD_CONT_1.png,6. Build Continued,Material technical info table on PIC151 a peizo ceramic type
BUILD_CONT_2,BUILD_CONT_2.png,6. Build Continued,"Our piezo buzzer's tech sheet, including resounance fequecny and element size"
TEENSY_BRD_1,TEENSY_BRD_1.png,7. 5_1_2025  - Teensy Daughter Board,"The phyical pin pinout from the teensy into our control board. Note that a custom perfboard adapter for the teensy needs to be built, and is otherwise not documented. The physical pinout here must match the ribbon cabel that docks with the control board."
SOFTWARE_CTRL_1,SOFTWARE_CTRL_1.png,8. Copy of Software notes,MechPanda's block diagram showing the key software functions interacting togeether for the scanning sequence
SOFTWARE_CTRL_2,SOFTWARE_CTRL_2.png,8. Copy of Software notes,"Table of Serial Commands, cheet sheet - These are commands sent from the Python to the Microcontroller/Teensy"
SOFTWARE_CTRL_3,SOFTWARE_CTRL_3.png,8. Copy of Software notes,STM Command Cheet sheet
SOFTWARE_CTRL_4,SOFTWARE_CTRL_4.jpg,8. Copy of Software notes,Tabel showing Constant Current Mode versus Constant Height Mode control system features for STMs
SOFTWARE_CTRL_5,SOFTWARE_CTRL_5.jpg,8. Copy of Software notes,Tabel comparing SCST and IVME by features
PIEZO_1,PIEZO_1.png,9. Piezo - Concepts,"Comparison of Dan's Peizo and pin holder on the left, versus mechpanda's on the right"
PIEZO_2,PIEZO_2.png,9. Piezo - Concepts,"Circuit diagram from the control board showing how voltages control Z+X, Z-X, Z+Y, Z-Y - the four control voltages for each quarter of the piezo, creating the complex convcave and convex shapes used during prope tip movements"
POWER_1,POWER_1.png,11. Power Supply - Kickoff Discussion,"Each Linear power regulator used in the system producing +15, -15, 3.3, and 5V (shown in that order)"
LAB_DAY_1,LAB_DAY_1.png,13. Lab Day - 5/29/25,"PCB design loaded in Easy EDA for ordering, demonstration of ordering"
LAB_DAY_2,LAB_DAY_2.png,13. Lab Day - 5/29/26,MechPanda's video shot showing Wires escape the chamber through a grove in the sensor assembly. We should plann on better more updated photos of this
LAB_DAY_3,LAB_DAY_3.png,13. Lab Day - 5/29/27,Concept diagram from Arduino of the ULN2003 stepper motor driver circuit
LAB_DAY_4,LAB_DAY_4.png,13. Lab Day - 5/29/28,"Code view of Motor Driver pins defined as IN1, IN2, IN3, IN4, with pin numbers respectively 33, 34, 35, 36"
LAB_DAY_5,LAB_DAY_5.png,13. Lab Day - 5/29/29,The motor is attached to the assembly with vertical cylinders shown in mechpanda's design. They are isolated with some rubber gaskets for vibration dampening.
TIP_WIRE_1,TIP_WIRE_1.jpg,14. Tip Wire,"Wire coming from Litz wire. These are very thin wires. Each strand is electrically isolated and can be unwound and used alone. This is not the probe tip, but rather the sense wire coming from the probe to the preamp circuit. This should be as short as possible"
TIP_WIRE_2,TIP_WIRE_2TIP_WIRE_2.jpg,14. Tip Wire,Practicle example of unwound wire
TIP_WIRE_3,TIP_WIRE_3.png,14. Tip Wire,"3D printed course apprach screw bits, using 3M screws as the main shaft. Just intermediate concepts, not part of the final design we landed on"
CONTROL_1,CONTROL_1.png,15. Motor Controller,"A physical signal propogation diagram showing how data comes into the control board, moves through it, then leaves. It has 1: differential pare voltage from preamp goes to 2: PreAmp+ and - goes to an opAmp that is a BufferAmp that acts as a low pass filter. This goes to 3: ADC then 4: off ot the microconroller over I2C. Not shown the but microcontrol reads and updates the state (updates the piezo as needed, or other voltages such as bias during initiailization). 5. Data from microcontroller returns and goes to a DAC which gets Piezo state and has 4 channels of data. 6 an opAmp circuit done in four parts is signaled which takes care of adding and subtracting Z+X, Z-X, Z+Y, and Z-Y. Lastly 7: this is output on a port to the piezo as it's control voltages to control it's movement/flex. This is a critical diagram"
CONTROL_2,CONTROL_2.png,15. Motor Controller,Shown is a PCB pad region for a DAC (component U1). The LED turns red when there is a short on the DAC 
CONTROL_3,CONTROL_3.png,15. Motor Controller,DAC pinout showing an alert state that drives the red LED
CONTROL_4,CONTROL_4.png,15. Motor Controller,DAC Pins from it's reference schematic. AD5761/AD5721 16 pin pinout
SAMPLES_PLAN_1,SAMPLES_PLAN_1.png,16. Samples Planning,Demonstration of MechPanda's sample mounting area inside the probe assembly. Shown are four magnets holding the metal sample disc. The grove shown what MechPanda's method of pointing the tip at the surface using a lateral sliding.  Not shown is the sample bias wire that gives the sample a bias
SAMPLES_PLAN_2,SAMPLES_PLAN_2.png,16. Samples Planning,"Picture of a sample. Used was pure graphene, specifically: Sample used: Mounted HOPG  - Model No. PACS-0200 00-601-0104. We are starting with gold for cost reasons"
SAMPLES_PLAN_3,SAMPLES_PLAN_3.jpg,16. Samples Planning,"Gold leaf comes in this form, and can be applied to a metalic disc to become a testable sample. Gold just needs to physically pressed, and it will statically cling sufficent to create a scannable surface."
